amount_input_wfs,amount_output_wfs,N_basis_vecs_amp,N_basis_vecs_phase,mismatch,minimum_spacing,computation time
40,500,35,35,1.4621622344801465e-06,0.005,0.0008618354797363282
40,500,35,35,1.4621622344801465e-06,0.003,0.0007248377799987793
40,500,30,35,1.4706914370676838e-06,0.003,0.0006919074058532715
40,500,30,35,1.4706914370676838e-06,0.005,0.0005980396270751953
40,500,25,35,1.630150706213307e-06,0.003,0.0006449580192565918
40,500,35,30,5.2210071557856615e-06,0.003,0.0006916499137878417
40,500,35,30,5.2210071557856615e-06,0.005,0.0006515264511108398
40,500,30,30,5.229206336936354e-06,0.003,0.000541849136352539
40,500,30,30,5.229206336936354e-06,0.005,0.0006026029586791992
40,500,25,30,5.3882127429338845e-06,0.003,0.0009275889396667481
40,500,35,25,7.327271492694187e-06,0.003,0.0007184600830078125
40,500,30,25,7.336303483707063e-06,0.003,0.0006094813346862793
40,500,25,25,7.4946424285704525e-06,0.003,0.0007310009002685547
40,500,35,25,1.2138964717024469e-05,0.005,0.0005091977119445801
40,500,30,25,1.2147221104734652e-05,0.005,0.0004364514350891113
40,500,25,35,0.04277848573379059,0.005,0.0005515551567077636
40,500,25,30,0.042782606260864116,0.005,0.0006660747528076171
40,500,25,25,0.042791590915612174,0.005,0.0005784440040588379
