amount_input_wfs,amount_output_wfs,N_basis_vecs_amp,N_basis_vecs_phase,mismatch,minimum_spacing,computation time
40,500,35,30,1.8411454531145344e-05,0.005,0.0006378507614135743
40,500,35,30,1.8411454531145344e-05,0.003,0.0006000757217407227
40,500,30,30,1.841787939532713e-05,0.003,0.0007312464714050293
40,500,30,30,1.841787939532713e-05,0.005,0.0006021618843078613
40,500,25,30,1.8473975822310696e-05,0.003,0.00047809600830078124
40,500,25,30,1.8473975822310696e-05,0.005,0.0005746340751647949
40,500,20,30,1.933902775644647e-05,0.005,0.0007337856292724609
40,500,20,30,1.933902775644647e-05,0.003,0.0009437966346740723
40,500,35,25,1.9496609366773666e-05,0.005,0.0006455373764038086
40,500,35,25,1.9496609366773666e-05,0.003,0.000586249828338623
40,500,30,25,1.9502724354980572e-05,0.003,0.00072265625
40,500,30,25,1.9502724354980572e-05,0.005,0.0005985045433044433
40,500,25,25,1.9558453842872803e-05,0.003,0.00052734375
40,500,25,25,1.9558453842872803e-05,0.005,0.0005087089538574218
40,500,20,25,2.0420775362059996e-05,0.005,0.0009572052955627441
40,500,20,25,2.0420775362059996e-05,0.003,0.0004843020439147949
40,500,35,35,2.1087290734916885e-05,0.003,0.0006423377990722656
40,500,35,35,2.1087290734916885e-05,0.005,0.000576174259185791
40,500,30,35,2.1093946852803746e-05,0.005,0.0005576753616333008
40,500,30,35,2.1093946852803746e-05,0.003,0.0006758522987365723
40,500,25,35,2.1151455333339177e-05,0.005,0.0006840014457702636
40,500,25,35,2.1151455333339177e-05,0.003,0.0005655121803283691
40,500,20,35,2.2033826925424993e-05,0.003,0.0005817389488220214
40,500,20,35,2.2033826925424993e-05,0.005,0.0005243945121765136
40,500,35,20,2.7206075929214756e-05,0.003,0.0004608035087585449
40,500,35,20,2.7206075929214756e-05,0.005,0.0005713844299316406
40,500,30,20,2.7210593053325072e-05,0.005,0.0006217455863952637
40,500,30,20,2.7210593053325072e-05,0.003,0.0005924487113952636
40,500,25,20,2.7262204139575362e-05,0.005,0.00045740365982055664
40,500,25,20,2.7262204139575362e-05,0.003,0.0005492782592773438
40,500,20,20,2.8123616911016613e-05,0.003,0.0006398677825927735
40,500,20,20,2.8123616911016613e-05,0.005,0.0005727648735046387
