amount_input_wfs,amount_output_wfs,N_basis_vecs_amp,N_basis_vecs_phase,mismatch,minimum_spacing,computation time
60,500,55,35,3.902069641825712e-06,0.005,0.000729062557220459
60,500,55,35,3.902069641825712e-06,0.003,0.0007043695449829102
60,500,50,35,3.90291187268299e-06,0.005,0.0006495976448059082
60,500,50,35,3.90291187268299e-06,0.003,0.0006893539428710938
60,500,45,35,3.9063526222404835e-06,0.003,0.0006662774085998536
60,500,45,35,3.9063526222404835e-06,0.005,0.0006626725196838378
60,500,40,35,3.906872179042509e-06,0.003,0.0006057214736938476
60,500,40,35,3.906872179042509e-06,0.005,0.0005964303016662598
60,500,35,35,3.922378729969145e-06,0.005,0.0006256699562072754
60,500,35,35,3.922378729969145e-06,0.003,0.000630643367767334
60,500,30,35,3.938746024760853e-06,0.003,0.0006627774238586425
60,500,30,35,3.938746024760853e-06,0.005,0.000623016357421875
60,500,55,40,4.001894790675032e-06,0.005,0.0007035326957702637
60,500,55,40,4.001894790675032e-06,0.003,0.0007655978202819824
60,500,50,40,4.00273290156572e-06,0.005,0.0006815290451049805
60,500,50,40,4.00273290156572e-06,0.003,0.0006693816184997559
60,500,45,40,4.006189187254483e-06,0.003,0.0007314562797546386
60,500,45,40,4.006189187254483e-06,0.005,0.000708153247833252
60,500,40,40,4.006546592222327e-06,0.003,0.0006459665298461914
60,500,40,40,4.006546592222327e-06,0.005,0.0006049418449401855
60,500,35,40,4.022271613335349e-06,0.005,0.0006188726425170898
60,500,35,40,4.022271613335349e-06,0.003,0.0005605769157409668
60,500,30,40,4.038865763369426e-06,0.003,0.0006629037857055664
60,500,30,40,4.038865763369426e-06,0.005,0.000609579086303711
60,500,55,45,4.048946194966652e-06,0.005,0.0008034563064575195
60,500,55,45,4.048946194966652e-06,0.003,0.0008343672752380371
60,500,50,45,4.049720434279314e-06,0.003,0.0006991219520568847
60,500,50,45,4.049720434279314e-06,0.005,0.0006958937644958496
60,500,45,45,4.053181200979195e-06,0.005,0.000675671100616455
60,500,45,45,4.053181200979195e-06,0.003,0.000780189037322998
60,500,40,45,4.053683435161215e-06,0.003,0.0007091331481933594
60,500,40,45,4.053683435161215e-06,0.005,0.0006792140007019043
60,500,35,45,4.069337878315204e-06,0.005,0.0005930066108703613
60,500,35,45,4.069337878315204e-06,0.003,0.0006707072257995606
60,500,30,45,4.085964572686507e-06,0.005,0.0006490039825439453
60,500,30,45,4.085964572686507e-06,0.003,0.0006836771965026856
60,500,25,35,4.0884342936886584e-06,0.005,0.0005844712257385253
60,500,25,35,4.0884342936886584e-06,0.003,0.0005676698684692383
60,500,25,40,4.1908133712509344e-06,0.005,0.0005776596069335938
60,500,25,40,4.1908133712509344e-06,0.003,0.0006150603294372559
60,500,55,50,4.204034918048327e-06,0.005,0.0008254504203796387
60,500,55,50,4.204034918048327e-06,0.003,0.0007574439048767089
60,500,50,50,4.204820086772809e-06,0.003,0.0007616806030273437
60,500,50,50,4.204820086772809e-06,0.005,0.0008801388740539551
60,500,45,50,4.2084800431685385e-06,0.005,0.0007500147819519043
60,500,45,50,4.2084800431685385e-06,0.003,0.0007693147659301757
60,500,40,50,4.208874795642581e-06,0.003,0.0007220458984375
60,500,40,50,4.208874795642581e-06,0.005,0.0006885409355163574
60,500,35,50,4.22521770018558e-06,0.005,0.0006887793540954589
60,500,35,50,4.22521770018558e-06,0.003,0.0006955504417419433
60,500,25,45,4.240039212414226e-06,0.005,0.0006318092346191406
60,500,25,45,4.240039212414226e-06,0.003,0.0006200742721557618
60,500,30,50,4.2418836071955735e-06,0.005,0.0007324504852294922
60,500,30,50,4.2418836071955735e-06,0.003,0.0006452131271362304
60,500,25,50,4.3948370740076735e-06,0.003,0.0006915140151977539
60,500,25,50,4.3948370740076735e-06,0.005,0.0006723356246948242
60,500,55,55,4.5506200048128774e-06,0.003,0.0008565378189086914
