amount_input_wfs,amount_output_wfs,N_basis_vecs_amp,N_basis_vecs_phase,mismatch,minimum_spacing,computation time
40,500,35,35,1.4680172604086827e-06,0.005,0.0006362009048461914
40,500,35,35,1.4680172604086827e-06,0.003,0.0005793166160583496
40,500,30,35,1.4768033111733913e-06,0.005,0.0005551981925964356
40,500,30,35,1.4768033111733913e-06,0.003,0.0006216907501220703
40,500,25,35,1.6347708158082063e-06,0.003,0.0005588650703430176
40,500,20,35,2.676355261822527e-06,0.003,0.0004944705963134766
40,500,20,35,2.676810415834785e-06,0.005,0.0005440902709960937
40,500,35,30,5.2107773210652295e-06,0.005,0.0005168938636779786
40,500,35,30,5.2107773210652295e-06,0.003,0.0004836606979370117
40,500,30,30,5.219234363533776e-06,0.005,0.00044745922088623046
40,500,30,30,5.219234363533776e-06,0.003,0.0005578827857971191
40,500,25,30,5.3767593665710045e-06,0.003,0.0007024908065795899
40,500,20,30,6.4149894740106465e-06,0.003,0.0005286979675292969
40,500,20,30,6.415596421255332e-06,0.005,0.0006731486320495605
40,500,35,25,7.333679773430246e-06,0.003,0.00047983884811401365
40,500,30,25,7.342972490285149e-06,0.003,0.000503706932067871
40,500,25,25,7.499852780969984e-06,0.003,0.000615382194519043
40,500,20,25,8.537127032643976e-06,0.003,0.0006757259368896484
40,500,35,25,1.2154926176555225e-05,0.005,0.000553586483001709
40,500,30,25,1.216344416557935e-05,0.005,0.0004975008964538574
40,500,20,25,1.3367569144934199e-05,0.005,0.0004981565475463867
40,500,25,35,0.04277957722689911,0.005,0.0005291175842285157
40,500,25,30,0.04278367985556085,0.005,0.0004604458808898926
40,500,25,25,0.04279269137343562,0.005,0.0004710149765014648
