amount_input_wfs,amount_output_wfs,N_basis_vecs_amp,N_basis_vecs_phase,mismatch,minimum_spacing,computation time
60,500,55,55,7.949053897837732e-07,0.005,0.0008895754814147949
60,500,55,55,7.949053907296833e-07,0.003,0.0008465695381164551
60,500,50,55,7.979938197966163e-07,0.005,0.0008941912651062012
60,500,50,55,7.979938221880367e-07,0.003,0.0008685684204101562
60,500,45,55,7.998325041447263e-07,0.003,0.0009406065940856934
60,500,45,55,7.998325089031421e-07,0.005,0.0009888458251953126
60,500,40,55,8.037496307133907e-07,0.003,0.0008994817733764648
60,500,40,55,8.03749630764461e-07,0.005,0.000807499885559082
60,500,30,55,8.295614827846798e-07,0.005,0.0007095503807067871
60,500,30,55,8.295614827846798e-07,0.003,0.0007091617584228516
60,500,35,55,8.793580557309166e-07,0.005,0.0008539438247680664
60,500,35,55,8.793625051262132e-07,0.003,0.0007575321197509766
60,500,25,55,9.251877770743988e-07,0.003,0.000682685375213623
60,500,25,55,9.251877770743988e-07,0.005,0.0007773160934448243
60,500,55,50,1.9086050290650913e-06,0.005,0.0009040498733520508
60,500,55,50,1.9086050299388367e-06,0.003,0.0008839726448059082
60,500,50,50,1.9098091699221165e-06,0.005,0.0007068324089050293
60,500,50,50,1.9098091721958532e-06,0.003,0.0007170534133911133
60,500,45,50,1.9116075620007057e-06,0.003,0.0010358285903930664
60,500,45,50,1.9116075664704634e-06,0.005,0.0009624910354614258
60,500,40,50,1.916613185778404e-06,0.003,0.0007457399368286133
60,500,40,50,1.9166131858305847e-06,0.005,0.0007666683197021484
60,500,30,50,1.9382972085235652e-06,0.005,0.0007284164428710937
60,500,30,50,1.9382972085235652e-06,0.003,0.0006250953674316407
60,500,35,50,1.9903665258891314e-06,0.005,0.0007623934745788574
60,500,35,50,1.9903709859359076e-06,0.003,0.0007538771629333496
60,500,25,50,2.0340366024707012e-06,0.003,0.0008655881881713867
60,500,25,50,2.0340366024707012e-06,0.005,0.0007690978050231933
60,500,55,45,2.8312612899217273e-06,0.005,0.0009377527236938476
60,500,55,45,2.8312612908598654e-06,0.003,0.0007413768768310547
60,500,50,45,2.8315669369449737e-06,0.005,0.0007842779159545898
60,500,50,45,2.8315669392076084e-06,0.003,0.000765228271484375
60,500,45,45,2.833356496861894e-06,0.003,0.0008204340934753418
60,500,45,45,2.833356501232842e-06,0.005,0.0007035303115844727
60,500,40,45,2.8379177840520685e-06,0.003,0.0007771730422973632
60,500,40,45,2.8379177840676115e-06,0.005,0.0007607388496398926
60,500,30,45,2.8612123391213995e-06,0.005,0.0005844855308532715
60,500,30,45,2.8612123391213995e-06,0.003,0.0006854534149169922
60,500,35,45,2.9132393791220233e-06,0.005,0.0006960701942443848
60,500,35,45,2.9132438322998498e-06,0.003,0.000616457462310791
60,500,25,45,2.9568667981150208e-06,0.005,0.0006559300422668457
60,500,25,45,2.9568667981150208e-06,0.003,0.000610201358795166
60,500,50,40,3.255279003713252e-06,0.005,0.0007708048820495605
60,500,50,40,3.2552790059070524e-06,0.003,0.0006665396690368653
60,500,55,40,3.2554379701865697e-06,0.005,0.0007241225242614746
60,500,55,40,3.255437971114716e-06,0.003,0.0006892848014831543
60,500,45,40,3.2574388494022167e-06,0.003,0.0007147884368896484
60,500,45,40,3.2574388539119425e-06,0.005,0.0008133816719055176
60,500,40,40,3.2628316040972383e-06,0.003,0.0007360625267028809
60,500,40,40,3.262831604109451e-06,0.005,0.000707392692565918
60,500,30,40,3.2855476412152472e-06,0.005,0.0005895638465881348
60,500,30,40,3.2855476412152472e-06,0.003,0.0006439399719238282
60,500,35,40,3.337494192531265e-06,0.005,0.0006132888793945313
60,500,35,40,3.3374986458722943e-06,0.003,0.0005920147895812989
60,500,25,40,3.381366206327563e-06,0.005,0.0006298255920410156
60,500,25,40,3.381366206327563e-06,0.003,0.000578927993774414
60,500,50,35,3.486342852673241e-06,0.005,0.0007796883583068848
60,500,50,35,3.486342854868152e-06,0.003,0.0008035397529602051
60,500,55,35,3.486420544810409e-06,0.005,0.0006568574905395508
60,500,55,35,3.4864205457385556e-06,0.003,0.0006829786300659179
60,500,45,35,3.488304860191915e-06,0.003,0.0006879281997680664
60,500,45,35,3.4883048644929194e-06,0.005,0.0006995582580566406
60,500,40,35,3.4930517878628553e-06,0.003,0.0006345820426940918
60,500,40,35,3.4930517879527835e-06,0.005,0.0007063984870910644
60,500,30,35,3.5157833188326217e-06,0.005,0.0005505704879760743
60,500,30,35,3.5157833188326217e-06,0.003,0.0005744576454162597
60,500,35,35,3.5677392555166778e-06,0.005,0.0006072568893432617
60,500,35,35,3.567743710949367e-06,0.003,0.0005894756317138672
60,500,25,35,3.611301305433967e-06,0.003,0.0005385518074035644
60,500,25,35,3.611301305433967e-06,0.005,0.0005197930335998535
60,500,55,30,8.481860482497661e-06,0.005,0.0007225704193115234
60,500,55,30,8.481860483278148e-06,0.003,0.0006792902946472168
60,500,45,30,8.48285500350876e-06,0.003,0.0006901264190673828
60,500,45,30,8.482855007182489e-06,0.005,0.0005980777740478516
60,500,50,30,8.484041065898173e-06,0.005,0.0007491993904113769
60,500,50,30,8.484041067979841e-06,0.003,0.0007004547119140625
60,500,40,30,8.488088646667613e-06,0.003,0.0005809187889099122
60,500,40,30,8.488088646744219e-06,0.005,0.0007214903831481934
60,500,30,30,8.512593628888786e-06,0.005,0.0005183649063110351
60,500,30,30,8.512593628888786e-06,0.003,0.0006066179275512696
60,500,35,30,8.564506798394156e-06,0.005,0.0005614018440246582
60,500,35,30,8.56451124090496e-06,0.003,0.000551607608795166
60,500,25,30,8.610286873278473e-06,0.003,0.000559227466583252
60,500,25,30,8.610286873278473e-06,0.005,0.0006758379936218262
60,500,50,25,3.5322425405989174e-05,0.005,0.000803680419921875
60,500,50,25,3.532242540698727e-05,0.003,0.0006293797492980957
60,500,55,25,3.532319928500338e-05,0.005,0.0006507325172424316
60,500,55,25,3.532319928514771e-05,0.003,0.000687248706817627
60,500,45,25,3.532324699218603e-05,0.003,0.0006520223617553711
60,500,45,25,3.532324699334288e-05,0.005,0.0006288433074951172
60,500,40,25,3.5328573024890895e-05,0.003,0.0006267666816711426
60,500,40,25,3.532857302494974e-05,0.005,0.0006840777397155762
60,500,30,25,3.5354635011353166e-05,0.005,0.0005066227912902832
60,500,30,25,3.5354635011353166e-05,0.003,0.000609893798828125
60,500,35,25,3.540248226807874e-05,0.005,0.0005511164665222168
60,500,35,25,3.540248665341084e-05,0.003,0.0005129265785217285
60,500,25,25,3.544937133991955e-05,0.003,0.0004783344268798828
60,500,25,25,3.544937133991955e-05,0.005,0.0005112171173095703
