amount_input_wfs,amount_output_wfs,N_basis_vecs_amp,N_basis_vecs_phase,mismatch,minimum_spacing,computation time
50,500,45,45,6.058985908330428e-07,0.003,0.000758218765258789
50,500,45,45,6.058985908330428e-07,0.005,0.0007473444938659668
50,500,40,45,6.064459316823534e-07,0.005,0.0007509493827819824
50,500,40,45,6.064459316823534e-07,0.003,0.0006718993186950684
50,500,35,45,6.091213081316215e-07,0.005,0.0008160972595214844
50,500,35,45,6.091213081316215e-07,0.003,0.0006723523139953614
50,500,45,40,6.197863880286203e-07,0.003,0.0007872247695922852
50,500,45,40,6.197863880286203e-07,0.005,0.0007660102844238282
50,500,40,40,6.203171841778765e-07,0.005,0.0007056522369384765
50,500,40,40,6.203171841778765e-07,0.003,0.0007552671432495118
50,500,35,40,6.228711726019576e-07,0.005,0.0007078194618225098
50,500,35,40,6.228711726019576e-07,0.003,0.000588223934173584
50,500,30,45,6.259251043994052e-07,0.003,0.0007624220848083496
50,500,30,45,6.259251043994052e-07,0.005,0.0005670428276062012
50,500,30,40,6.397165521154768e-07,0.003,0.0007545733451843261
50,500,30,40,6.397165521154768e-07,0.005,0.0007888221740722656
50,500,25,45,7.333808095988381e-07,0.005,0.0007746601104736328
50,500,25,45,7.333808095988381e-07,0.003,0.0006669926643371582
50,500,25,40,7.464544071333901e-07,0.003,0.0005874514579772949
50,500,25,40,7.464544071333901e-07,0.005,0.0005773735046386718
50,500,45,35,4.795157701564801e-06,0.003,0.000722501277923584
50,500,45,35,4.795157701564801e-06,0.005,0.0007505559921264648
50,500,40,35,4.79546178579593e-06,0.003,0.0007095098495483399
50,500,40,35,4.79546178579593e-06,0.005,0.0007471084594726562
50,500,35,35,4.797065235550013e-06,0.005,0.0005742692947387695
50,500,35,35,4.797065235550013e-06,0.003,0.0007502055168151856
50,500,30,35,4.814266048084326e-06,0.005,0.0007626962661743164
50,500,30,35,4.814266048084326e-06,0.003,0.0006775999069213867
50,500,25,35,4.90760179415628e-06,0.005,0.0007174372673034668
50,500,25,35,4.90760179415628e-06,0.003,0.0005909323692321778
50,500,35,30,8.687089871183273e-06,0.003,0.0006309604644775391
50,500,35,30,8.687089871183273e-06,0.005,0.000631256103515625
50,500,45,30,8.688655042816684e-06,0.003,0.000735630989074707
50,500,45,30,8.688655042816684e-06,0.005,0.0006651210784912109
50,500,40,30,8.688841169431915e-06,0.005,0.0006447649002075196
50,500,40,30,8.688841169431915e-06,0.003,0.0006829237937927246
50,500,30,30,8.704366525095209e-06,0.005,0.0006555414199829101
50,500,30,30,8.704366525095209e-06,0.003,0.0006378793716430664
50,500,25,30,8.797205816425401e-06,0.005,0.0005592417716979981
50,500,25,30,8.797205816425401e-06,0.003,0.0005668711662292481
50,500,35,25,1.1551562001450577e-05,0.005,0.0006776094436645508
50,500,35,25,1.1551562001450577e-05,0.003,0.00056718111038208
50,500,40,25,1.1554802795309404e-05,0.005,0.0006775307655334473
50,500,40,25,1.1554802795309404e-05,0.003,0.0006489658355712891
50,500,45,25,1.1555012229542695e-05,0.005,0.000745861530303955
50,500,45,25,1.1555012229542695e-05,0.003,0.0007467365264892578
50,500,30,25,1.1567647510876134e-05,0.005,0.000819244384765625
50,500,30,25,1.1567647510876134e-05,0.003,0.0005649304389953613
50,500,25,25,1.1669574067618704e-05,0.005,0.0005255842208862305
50,500,25,25,1.1669574067618704e-05,0.003,0.0004539680480957031
