amount_input_wfs,amount_output_wfs,N_basis_vecs_amp,N_basis_vecs_phase,mismatch,minimum_spacing,computation time
50,500,45,35,6.350030079288471e-06,0.005,0.0006786060333251954
50,500,45,35,6.350030079288471e-06,0.003,0.0007939338684082031
50,500,40,35,6.350560018820728e-06,0.003,0.0006542706489562988
50,500,40,35,6.350560018820728e-06,0.005,0.000592193603515625
50,500,35,35,6.3602522567174356e-06,0.003,0.0006878447532653809
50,500,35,35,6.3602522567174356e-06,0.005,0.0006180667877197266
50,500,30,35,6.364148277173687e-06,0.005,0.0005578064918518067
50,500,30,35,6.364148277173687e-06,0.003,0.0006058239936828614
50,500,25,35,6.456582094539476e-06,0.005,0.0005585718154907227
50,500,25,35,6.456582094539476e-06,0.003,0.0005374479293823242
50,500,45,30,6.530858125447514e-06,0.005,0.0006641936302185058
50,500,45,30,6.530858125447514e-06,0.003,0.000726637840270996
50,500,40,30,6.531330999660634e-06,0.003,0.0006627106666564942
50,500,40,30,6.531330999660634e-06,0.005,0.0007096481323242188
50,500,35,30,6.540485953078212e-06,0.005,0.0005936741828918457
50,500,35,30,6.540485953078212e-06,0.003,0.0005450010299682617
50,500,30,30,6.5444875924547395e-06,0.005,0.0005015206336975098
50,500,30,30,6.5444875924547395e-06,0.003,0.0005724740028381348
50,500,25,30,6.637285460269204e-06,0.005,0.0005527329444885254
50,500,25,30,6.637285460269204e-06,0.003,0.0004755997657775879
50,500,45,40,7.030277315135392e-06,0.005,0.0006571459770202637
50,500,45,40,7.030277315135392e-06,0.003,0.0006618094444274902
50,500,40,40,7.030852917295771e-06,0.003,0.0007180953025817871
50,500,40,40,7.030852917295771e-06,0.005,0.0006930184364318848
50,500,35,40,7.041751035924415e-06,0.003,0.0006046056747436524
50,500,35,40,7.041751035924415e-06,0.005,0.0006442666053771973
50,500,30,40,7.045717225218073e-06,0.005,0.0006142759323120117
50,500,30,40,7.045717225218073e-06,0.003,0.0006067991256713867
50,500,25,40,7.137200600987326e-06,0.003,0.0005843639373779297
50,500,25,40,7.137200600987326e-06,0.005,0.0005812120437622071
50,500,45,45,8.084444110483258e-06,0.003,0.0007597613334655762
50,500,45,45,8.084444110483258e-06,0.005,0.0006886911392211914
50,500,40,45,8.08513337803407e-06,0.005,0.0006583595275878907
50,500,40,45,8.08513337803407e-06,0.003,0.0006581711769104004
50,500,35,45,8.096178295614597e-06,0.005,0.0006516528129577637
50,500,35,45,8.096178295614597e-06,0.003,0.0006108260154724121
50,500,30,45,8.100012950511549e-06,0.005,0.0006791234016418457
50,500,30,45,8.100012950511549e-06,0.003,0.0006171846389770507
50,500,25,45,8.190554474926115e-06,0.005,0.0006345009803771973
50,500,25,45,8.190554474926115e-06,0.003,0.0006626129150390625
50,500,45,25,8.284928822863691e-06,0.005,0.0006320595741271973
50,500,45,25,8.284928822863691e-06,0.003,0.0006389093399047852
50,500,40,25,8.285302140690342e-06,0.005,0.0005757379531860352
50,500,40,25,8.285302140690342e-06,0.003,0.0006463241577148438
50,500,35,25,8.294587831664257e-06,0.005,0.0005761432647705078
50,500,35,25,8.294587831664257e-06,0.003,0.0005610060691833497
50,500,30,25,8.297867967337335e-06,0.005,0.0005091238021850586
50,500,30,25,8.297867967337335e-06,0.003,0.0005095338821411133
50,500,25,25,8.389843725754575e-06,0.005,0.00047189950942993163
50,500,25,25,8.389843725754575e-06,0.003,0.0004811644554138184
